курс,имя npc,название квеста,промпт для сцены
en_ru,Sam,Вернуть товар в магазин,"casual watercolor style, language-learning quest scene, no people and no characters, a shop counter with a plain returned item, receipt-shaped blank paper, and an exchange bag, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Sam,Вернуть товар в магазин,"casual watercolor style, language-learning quest scene, no people and no characters, a shop counter with a plain returned item, receipt-shaped blank paper, and an exchange bag, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,Описать человека в полиции,"casual watercolor style, language-learning quest scene, no people and no characters, a police station desk with blank witness notes, a simple featureless silhouette sketch, and pencils, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,Описать человека в полиции,"casual watercolor style, language-learning quest scene, no people and no characters, a police station desk with blank witness notes, a simple featureless silhouette sketch, and pencils, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,"Узнать, что будет дальше","casual watercolor style, language-learning quest scene, no people and no characters, a police station desk with blank procedure forms, a folder, and a calm organized waiting area, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,"Узнать, что будет дальше","casual watercolor style, language-learning quest scene, no people and no characters, a police station desk with blank procedure forms, a folder, and a calm organized waiting area, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mara,Выбрать место в кафе,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet cafe interior with one inviting empty table by the window and another near the counter, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Mara,Выбрать место в кафе,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet cafe interior with one inviting empty table by the window and another near the counter, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mara,Исправить заказ в кафе,"casual watercolor style, language-learning quest scene, no people and no characters, a cafe table with two different drinks, one clearly placed by mistake, a small tray on the side, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Mara,Исправить заказ в кафе,"casual watercolor style, language-learning quest scene, no people and no characters, a cafe table with two different drinks, one clearly placed by mistake, a small tray on the side, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mara,Рассказать о любимом напитке,"casual watercolor style, language-learning quest scene, no people and no characters, a calm cafe table with several favorite drinks: coffee, tea, juice, and a glass of water, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Mara,Рассказать о любимом напитке,"casual watercolor style, language-learning quest scene, no people and no characters, a calm cafe table with several favorite drinks: coffee, tea, juice, and a glass of water, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mara,Помочь в загруженное утро,"casual watercolor style, language-learning quest scene, no people and no characters, a busy cafe counter with several prepared cups, pastries, and trays arranged for quick service, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Mara,Помочь в загруженное утро,"casual watercolor style, language-learning quest scene, no people and no characters, a busy cafe counter with several prepared cups, pastries, and trays arranged for quick service, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mara,Поговорить с Марой о мечте,"casual watercolor style, language-learning quest scene, no people and no characters, a cozy evening cafe corner prepared for storytelling, warm lamps, empty chairs, cups on tables, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Mara,Поговорить с Марой о мечте,"casual watercolor style, language-learning quest scene, no people and no characters, a cozy evening cafe corner prepared for storytelling, warm lamps, empty chairs, cups on tables, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Sam,Выбрать подарок в магазине,"casual watercolor style, language-learning quest scene, no people and no characters, a corner-shop display of small gift options: wrapped box with no pattern, mug, candle, and sweets without labels, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Sam,Выбрать подарок в магазине,"casual watercolor style, language-learning quest scene, no people and no characters, a corner-shop display of small gift options: wrapped box with no pattern, mug, candle, and sweets without labels, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Sam,Сравнить два товара,"casual watercolor style, language-learning quest scene, no people and no characters, two similar shop items side by side for comparison, different colors and sizes, blank price cards, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Sam,Сравнить два товара,"casual watercolor style, language-learning quest scene, no people and no characters, two similar shop items side by side for comparison, different colors and sizes, blank price cards, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Sam,"Объяснить, что чек потерян","casual watercolor style, language-learning quest scene, no people and no characters, a shop counter with a purchased item and an empty space where a receipt should be, blank papers nearby, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Sam,"Объяснить, что чек потерян","casual watercolor style, language-learning quest scene, no people and no characters, a shop counter with a purchased item and an empty space where a receipt should be, blank papers nearby, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Sam,Описать странный предмет,"casual watercolor style, language-learning quest scene, no people and no characters, a small box of forgotten things in a quiet corner shop, one unusual smooth object in the center, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Sam,Описать странный предмет,"casual watercolor style, language-learning quest scene, no people and no characters, a small box of forgotten things in a quiet corner shop, one unusual smooth object in the center, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Sam,Обсудить записку в бутылке,"casual watercolor style, language-learning quest scene, no people and no characters, a small glass bottle with a folded blank note inside, resting on a shop counter among forgotten objects, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Sam,Обсудить записку в бутылке,"casual watercolor style, language-learning quest scene, no people and no characters, a small glass bottle with a folded blank note inside, resting on a shop counter among forgotten objects, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,Сообщить о пропавшем питомце,"casual watercolor style, language-learning quest scene, no people and no characters, a police station lost-pet report scene with a collar, leash, and blank form on the front desk, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,Сообщить о пропавшем питомце,"casual watercolor style, language-learning quest scene, no people and no characters, a police station lost-pet report scene with a collar, leash, and blank form on the front desk, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,Восстановить порядок событий,"casual watercolor style, language-learning quest scene, no people and no characters, a police desk with blank timeline cards arranged in order, clock without numbers, and a folder, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,Восстановить порядок событий,"casual watercolor style, language-learning quest scene, no people and no characters, a police desk with blank timeline cards arranged in order, clock without numbers, and a folder, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,Дать свидетельское описание,"casual watercolor style, language-learning quest scene, no people and no characters, a police interview desk with blank statement paper, pencil, and a window view of a quiet street, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,Дать свидетельское описание,"casual watercolor style, language-learning quest scene, no people and no characters, a police interview desk with blank statement paper, pencil, and a window view of a quiet street, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,Пожаловаться на ночной шум,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet apartment street at night seen from a report desk, open window, subtle abstract sound marks without symbols, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,Пожаловаться на ночной шум,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet apartment street at night seen from a report desk, open window, subtle abstract sound marks without symbols, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,Связать две подсказки,"casual watercolor style, language-learning quest scene, no people and no characters, a police desk with two harmless clue objects side by side and a blank case folder, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,Связать две подсказки,"casual watercolor style, language-learning quest scene, no people and no characters, a police desk with two harmless clue objects side by side and a blank case folder, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,Узнать итог дела,"casual watercolor style, language-learning quest scene, no people and no characters, a tidy police desk with a closed blank folder, a found collar, and a peaceful resolved-case mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,Узнать итог дела,"casual watercolor style, language-learning quest scene, no people and no characters, a tidy police desk with a closed blank folder, a found collar, and a peaceful resolved-case mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Inés Robles,"Рассказать, как себя чувствуешь","casual watercolor style, language-learning quest scene, no people and no characters, a calm community-center counseling room with two empty chairs, tea cups, plants, and a blank notebook, focused on feelings and reflection, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Inés Robles,Описать семью или близких,"casual watercolor style, language-learning quest scene, no people and no characters, a calm community-center counseling room with two empty chairs, tea cups, plants, and a blank notebook, focused on feelings and reflection, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Inés Robles,Рассказать о плохом дне,"casual watercolor style, language-learning quest scene, no people and no characters, a calm community-center counseling room with two empty chairs, tea cups, plants, and a blank notebook, focused on feelings and reflection, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Inés Robles,Потренироваться вежливо отказывать,"casual watercolor style, language-learning quest scene, no people and no characters, a calm community-center counseling room with two empty chairs, tea cups, plants, and a blank notebook, focused on feelings and reflection, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Inés Robles,Обсудить план изменений,"casual watercolor style, language-learning quest scene, no people and no characters, a calm counseling room with a blank weekly planner, small plant, tea cup, and one simple goal represented by a pebble path, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Inés Robles,Рассказать о чувствах из-за старого фото,"casual watercolor style, language-learning quest scene, no people and no characters, a calm counseling room table with an old blank photo, a cup of tea, and a notebook for feelings, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Profesor Martín Sol,Представиться на семинаре,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Profesor Martín Sol,Выбрать тему мини-доклада,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Profesor Martín Sol,Подготовить вопросы для интервью,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Profesor Martín Sol,Сравнить две версии легенды,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Profesor Martín Sol,Защитить аргумент,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Profesor Martín Sol,Выступить с выводом,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Doña Pilar,Попросить что-то от кашля,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Doña Pilar,Спросить цену и способ оплаты,"casual watercolor style, language-learning quest scene, no people and no characters, a small Spanish pharmacy counter with unlabeled medicine box, coins, and a blank payment terminal, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Doña Pilar,Описать симптомы,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Doña Pilar,Купить лекарство для друга,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Doña Pilar,Понять предупреждение о дозировке,"casual watercolor style, language-learning quest scene, no people and no characters, a pharmacy counter with an unlabeled medicine box, a blank label area, and a magnifying glass for safe instructions, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Doña Pilar,Расспросить о странном посетителе,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Dr. Mateo Cruz,Записаться на приём,"casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Dr. Mateo Cruz,Описать боль,"casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Dr. Mateo Cruz,"Ответить про сон, еду и работу","casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Dr. Mateo Cruz,Рассказать историю болезни,"casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Dr. Mateo Cruz,"Обсудить, помогли ли советы","casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Dr. Mateo Cruz,Пересказать сон и сравнить с другими,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet clinic desk with several blank patient folders arranged like a pattern, soft light, and a thoughtful observation mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,El Hombre del Paraguas,Поговорить о погоде,"casual watercolor style, language-learning quest scene, no people and no characters, a sunny quiet street corner with a closed umbrella leaning against a bench, warm buildings, and a gentle unusual mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,El Hombre del Paraguas,Спросить дорогу,"casual watercolor style, language-learning quest scene, no people and no characters, a sunny quiet street corner with a closed umbrella leaning against a bench, warm buildings, and a gentle unusual mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,El Hombre del Paraguas,Понять простое предупреждение,"casual watercolor style, language-learning quest scene, no people and no characters, a sunny quiet street corner with a closed umbrella leaning against a bench, warm buildings, and a gentle unusual mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,El Hombre del Paraguas,Описать найденное письмо,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet sunny street bench with an old blank envelope and a closed umbrella leaning nearby, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,El Hombre del Paraguas,Обсудить обещание из прошлого,"casual watercolor style, language-learning quest scene, no people and no characters, a sunny quiet street corner with a closed umbrella leaning against a bench, warm buildings, and a gentle unusual mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,El Hombre del Paraguas,Помочь принять хороший день,"casual watercolor style, language-learning quest scene, no people and no characters, a sunny quiet street corner with a closed umbrella leaning against a bench, warm buildings, and a gentle unusual mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Carmen Sombra,Описать первую подсказку,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish city wall where a mural has faded after rain, wet pavement, remaining abstract color shapes, safe street mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Carmen Sombra,Описать рисунок на стене,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish city wall where a mural has faded after rain, wet pavement, remaining abstract color shapes, safe street mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Carmen Sombra,"Объяснить, где был человек","casual watercolor style, language-learning quest scene, no people and no characters, a Spanish city wall where a mural has faded after rain, wet pavement, remaining abstract color shapes, safe street mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Carmen Sombra,Обсудить значение символа,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish city wall where a mural has faded after rain, wet pavement, remaining abstract color shapes, safe street mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Carmen Sombra,Признать ошибочную версию,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish city wall where a mural has faded after rain, wet pavement, remaining abstract color shapes, safe street mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Carmen Sombra,"Понять, почему мурал исчез","casual watercolor style, language-learning quest scene, no people and no characters, a Spanish city wall where a mural has faded after rain, wet pavement, remaining abstract color shapes, safe street mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Rafa,Купить билет в автобусе,"casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Rafa,Спросить о следующей остановке,"casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Rafa,"Объяснить, что сел не туда","casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Rafa,Пересказать историю пассажира,"casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Rafa,Узнать о старом маршруте,"casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Rafa,"Решить, ехать ли до последней остановки","casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Lucía Canta,Поздороваться с Лусией,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Lucía Canta,Попросить песню,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Lucía Canta,Описать настроение песни,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Lucía Canta,Предложить слово для строки,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Lucía Canta,Рассказать воспоминание для песни,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Lucía Canta,Обсудить готовую песню,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Bibliotecaria Vega,Оформить читательскую карточку,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet library archive desk with books whose spines are blank, blank cards, reading lamps, and a thoughtful research mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Bibliotecaria Vega,"Описать письмо, которое ищешь","casual watercolor style, language-learning quest scene, no people and no characters, a quiet Spanish library archive desk with blank envelopes, anonymized blank catalogue cards, reading lamp, and privacy-focused mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Bibliotecaria Vega,Пересказать содержание письма,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet Spanish library archive desk with blank envelopes, anonymized blank catalogue cards, reading lamp, and privacy-focused mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Bibliotecaria Vega,"Предположить, кто автор письма","casual watercolor style, language-learning quest scene, no people and no characters, a quiet Spanish library archive desk with blank envelopes, anonymized blank catalogue cards, reading lamp, and privacy-focused mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Bibliotecaria Vega,Обсудить этику чужих писем,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet Spanish library archive desk with blank envelopes, anonymized blank catalogue cards, reading lamp, and privacy-focused mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Bibliotecaria Vega,Обсудить невысказанную правду,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet Spanish library archive desk with blank envelopes, anonymized blank catalogue cards, reading lamp, and privacy-focused mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Don Álvaro,Помочь с важным поручением,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish plaza at golden hour with a walking cane, small errand bag, fountain, benches, and dignified reflective atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Don Álvaro,Отделить факты от преувеличений,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish plaza at golden hour with a walking cane, small errand bag, fountain, benches, and dignified reflective atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Don Álvaro,Урегулировать спор на площади,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish plaza at golden hour with a walking cane, small errand bag, fountain, benches, and dignified reflective atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Don Álvaro,Обсудить сожаление,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish plaza at golden hour with a walking cane, small errand bag, fountain, benches, and dignified reflective atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Don Álvaro,Поговорить о наследии,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish plaza at golden hour with a walking cane, small errand bag, fountain, benches, and dignified reflective atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Don Álvaro,Провести Дон Альваро по площади,"casual watercolor style, language-learning quest scene, no people and no characters, a Spanish plaza at golden hour with a walking cane, small errand bag, fountain, benches, and dignified reflective atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. June Vale,"Рассказать имя, настроение и причину визита","casual watercolor style, language-learning quest scene, no people and no characters, a calm community-center counseling room with two empty chairs, tea cups, plants, and a blank notebook, focused on feelings and reflection, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. June Vale,Описать обычный день,"casual watercolor style, language-learning quest scene, no people and no characters, a calm community-center counseling room with two empty chairs, tea cups, plants, and a blank notebook, focused on feelings and reflection, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. June Vale,Рассказать о небольшой тревоге,"casual watercolor style, language-learning quest scene, no people and no characters, a calm community-center counseling room with two empty chairs, tea cups, plants, and a blank notebook, focused on feelings and reflection, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. June Vale,Объяснить привычку и трудности изменения,"casual watercolor style, language-learning quest scene, no people and no characters, a calm community-center counseling room with two empty chairs, tea cups, plants, and a blank notebook, focused on feelings and reflection, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. June Vale,Сформулировать цель на неделю,"casual watercolor style, language-learning quest scene, no people and no characters, a calm counseling room with a blank weekly planner, small plant, tea cup, and one simple goal represented by a pebble path, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. June Vale,Обсудить письмо себе из будущего,"casual watercolor style, language-learning quest scene, no people and no characters, a calm counseling room table with a sealed blank letter to the future self, tea cup, and soft light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Professor Rowan Pike,Представиться и объяснить интерес к курсу,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Professor Rowan Pike,Уточнить задание,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Professor Rowan Pike,Кратко пересказать городскую легенду,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Professor Rowan Pike,"Обсудить, можно ли доверять источникам","casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
