topic_id;exam;official_area;topic_ru;facts_to_cover_ru;key_terms_es;recommended_cefr_level;target_text_count;generated_text_count;priority;source_ref
T1-007;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Официальные языки Испании;Кастильский или испанский является официальным языком всей Испании, граждане имеют право использовать его и обязанность знать, другие испанские языки официальны в своих автономиях;castellano|español|lengua oficial|derecho de usar|deber de conocer;A1;3;3;high;CCSE Manual 2026 Tarea 1
T1-008;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Соофициальные языки и регионы;Галисийский в Галисии, баскский в Наварре и Стране Басков, каталанский и аранский в Каталонии, каталанский на Балеарах, валенсийский или каталанский в Валенсийском сообществе;gallego|vasco|euskera|catalán|aranés|valenciano;A1;4;4;high;CCSE Manual 2026 Tarea 1
T1-009;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Языковые институты;RAE регулирует испанский, Instituto Cervantes распространяет испанский язык и культуру, для каталанского, валенсийского, галисийского и баскского есть свои академии и институты;Real Academia Española|Instituto Cervantes|Euskaltzaindia|Real Academia Galega|Institut d'Estudis Catalans;A1;3;3;medium;CCSE Manual 2026 Tarea 1
T1-010;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Столица Испании;Столица Испании Мадрид с середины XVI века, ранее столицами были Вальядолид и Толедо;capital de España|Madrid|Valladolid|Toledo|siglo XVI;A0;1;1;medium;CCSE Manual 2026 Tarea 1
T1-011;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Король как глава государства;Король является главой государства и высшим представителем Испании, символизирует единство, выступает арбитром и гарантом нормальной работы институтов;jefe del Estado|rey|Corona|unidad de España|instituciones;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-012;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Функции короля;Король санкционирует и распоряжается публикацией законов, назначает членов правительства по предложению председателя, является верховным главнокомандующим Вооружённых сил;sancionar leyes|publicación oficial|nombrar miembros del Gobierno|Fuerzas Armadas|mando supremo;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-013;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Наследование Короны;Корона наследственная, наследник или наследница получает титул Принц или Принцесса Астурийская, править могут мужчины и женщины;Corona hereditaria|Príncipe de Asturias|Princesa de Asturias|heredero|heredera;A1;2;2;medium;CCSE Manual 2026 Tarea 1
T1-014;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Современная монархия;Хуан Карлос I был королём с 22 ноября 1975 до 18 июня 2014, Фелипе VI провозглашён королём 19 июня 2014;Juan Carlos I|Felipe VI|22 de noviembre de 1975|18 de junio de 2014|19 de junio de 2014;A2;2;0;high;CCSE Manual 2026 Tarea 1
T1-015;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Международные организации;Испания входит в ЕС с 1 января 1986, также состоит в ООН, Совете Европы, НАТО, МВФ и Всемирном банке, особое значение имеет Ибероамериканское сообщество;Unión Europea|ONU|Consejo de Europa|OTAN|FMI|Banco Mundial|Comunidad Iberoamericana;A2;4;0;high;CCSE Manual 2026 Tarea 1
T1-016;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Флаг и председательство ЕС;Флаг ЕС синий с 12 жёлтыми звёздами, Испания несколько раз председательствовала в Совете ЕС, включая 1989, 1995, 2002, 2010 и 2023;bandera de la Unión Europea|12 estrellas|Consejo de la Unión Europea|presidencia semestral;A1;2;2;medium;CCSE Manual 2026 Tarea 1
T1-017;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Разделение властей;Конституция устанавливает разделение исполнительной, законодательной и судебной власти, что гарантирует работу институтов;poder ejecutivo|poder legislativo|poder judicial|separación de poderes|instituciones;B1;2;0;high;CCSE Manual 2026 Tarea 1
T1-018;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Правительство Испании;Правительство руководит внутренней и внешней политикой, гражданской и военной администрацией и обороной государства, состоит из председателя, заместителей и министров;Gobierno|política interior|política exterior|presidente del Gobierno|ministros|vicepresidentes;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-019;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Монклоа и sede del Gobierno;Правительство имеет sede в Мадриде, официальная резиденция председателя правительства Palacio de la Moncloa, министры обещают или присягают перед Конституцией в присутствии короля;Madrid|Palacio de la Moncloa|jurar el cargo|prometer el cargo|Constitución;A2;2;0;medium;CCSE Manual 2026 Tarea 1
T1-020;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Cortes Generales;Парламент Испании называется Cortes Generales, состоит из Конгресса депутатов и Сената, представляет испанский народ;Cortes Generales|Parlamento|Congreso de los Diputados|Senado|pueblo español;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-021;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Функции парламента;Cortes Generales разрабатывают, обсуждают и утверждают законы и госбюджет, контролируют работу правительства;elaborar leyes|debatir leyes|aprobar leyes|Presupuestos Generales del Estado|controlar al Gobierno;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-022;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Конгресс и Сенат;Конгресс имеет 350 депутатов и участвует в инвеституре председателя правительства, Сенат является палатой территориального представительства, часть сенаторов выбирают автономии;350 diputados|investidura|moción de censura|Senado|representación territorial;B1;4;0;high;CCSE Manual 2026 Tarea 1
T1-023;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Типы законов;Органический закон регулирует усиленные темы вроде основных прав и статутов автономий, обычный закон принимается простым большинством, декрет-закон используется правительством в срочной необходимости;ley orgánica|ley ordinaria|decreto ley|mayoría simple|urgente necesidad;B1;3;0;high;CCSE Manual 2026 Tarea 1
T1-024;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Законодательная инициатива;Проект закона предлагает правительство, proposición de ley может предложить Конгресс, Сенат, автономия или минимум 500000 граждан;proyecto de ley|proposición de ley|Congreso|Senado|comunidad autónoma|500000 ciudadanos;B1;2;0;medium;CCSE Manual 2026 Tarea 1
T1-025;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Судебная власть;Судебная власть состоит из судей и магистратов, отправляет правосудие, действует принцип единства юрисдикции;jueces|magistrados|administrar justicia|unidad jurisdiccional|tribunales;B1;2;0;high;CCSE Manual 2026 Tarea 1
T1-026;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;CGPJ и Tribunal Constitucional;Consejo General del Poder Judicial управляет судьями и защищает независимость судов, Tribunal Constitucional толкует Конституцию и независим от ветвей власти;Consejo General del Poder Judicial|CGPJ|Tribunal Constitucional|independencia judicial|interpretar la Constitución;B1;3;0;high;CCSE Manual 2026 Tarea 1
T1-027;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Религия и государство;Конституция гарантирует религиозную свободу, Испания является аconfesional, официальной религии нет, хотя есть сильная католическая традиция;libertad religiosa|Estado aconfesional|religión oficial|tradición católica;B1;2;0;high;CCSE Manual 2026 Tarea 1
T1-028;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Вооружённые силы;Fuerzas Armadas защищают независимость, территориальную целостность и конституционный порядок, состоят из сухопутных войск, ВВС и флота, участвуют в миссиях ООН;Fuerzas Armadas|Ejército de Tierra|Ejército del Aire|Armada|misiones de paz;A2;3;0;medium;CCSE Manual 2026 Tarea 1
T1-029;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Полиция и Guardia Civil;Полиция национального уровня оформляет DNI и паспорт, занимается иностранцами и границей, Guardia Civil следит за междугородним дорожным движением, портами, аэропортами, границами и побережьем;Policía Nacional|Guardia Civil|DNI|pasaporte|extranjería|tráfico;A1;4;4;high;CCSE Manual 2026 Tarea 1
T1-030;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Автономная и местная полиция;Ertzaintza в Стране Басков, Mossos d'Esquadra в Каталонии, Policía Foral в Наварре, полиция Канарских островов, Policía local регулирует порядок и движение в муниципалитете;Ertzaintza|Mossos d'Esquadra|Policía Foral|Policía local|Canarias;A1;3;3;medium;CCSE Manual 2026 Tarea 1
T1-031;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Консультативные и государственные органы;Consejo de Estado и Consejo Económico y Social консультируют правительство, среди государственных органов AEMET, AEAT, DGT, ICEX, Banco de España, INE, Instituto Cervantes;Consejo de Estado|Consejo Económico y Social|AEMET|AEAT|DGT|ICEX|INE;B1;4;0;medium;CCSE Manual 2026 Tarea 1
T1-032;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Defensor del Pueblo;Defensor del Pueblo защищает основные права, принимает жалобы на администрацию, избирается Конгрессом и Сенатом на 5 лет, независим от инструкций властей;Defensor del Pueblo|derechos fundamentales|queja|Cortes Generales|cinco años;B1;3;0;high;CCSE Manual 2026 Tarea 1
T1-033;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Tribunal de Cuentas и Agencia Tributaria;Tribunal de Cuentas контролирует финансы администраций и партий, Agencia Tributaria собирает налоги и применяет налоговую систему;Tribunal de Cuentas|finanzas públicas|partidos políticos|Agencia Tributaria|impuestos;B1;2;0;high;CCSE Manual 2026 Tarea 1
T1-034;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Уровни администрации;Испания организована в центральную, автономную и местную администрацию, уровни связаны с государством, автономиями, провинциями и муниципалитетами;Administración central|Administración autonómica|Administración local|provincias|municipios;B1;3;0;high;CCSE Manual 2026 Tarea 1
T1-035;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Компетенции государства и автономий;Государство имеет исключительные компетенции по гражданству, иностранцам, иммиграции, международным отношениям и правосудию, автономии обычно управляют здравоохранением и образованием;competencias exclusivas|nacionalidad|extranjería|inmigración|relaciones internacionales|sanidad|educación;B1;3;0;high;CCSE Manual 2026 Tarea 1
T1-036;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Автономии и статуты;В Испании 17 автономных сообществ и 2 автономных города, основной закон автономии это Estatuto de Autonomía, он задаёт название, территорию, институты и компетенции;17 comunidades autónomas|2 ciudades autónomas|Estatuto de Autonomía|territorio|competencias;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-037;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Институты автономий;В автономиях есть парламент или ассамблея, consejo de gobierno и председатель, представитель государства в автономии называется delegado del Gobierno;asamblea legislativa|parlamento autonómico|consejo de gobierno|presidente autonómico|delegado del Gobierno;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-038;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Провинции и муниципалитеты;В Испании 50 провинций плюс Ceuta и Melilla, провинциями управляют Diputaciones, на Канарах cabildos, на Балеарах consejos insulares, муниципалитетом управляет ayuntamiento;50 provincias|Diputación|cabildo|consejo insular|ayuntamiento|alcalde|concejales;A2;4;0;high;CCSE Manual 2026 Tarea 1
T1-039;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Муниципальные компетенции;Ayuntamiento управляет местными услугами, историческим наследием, городской средой, водой, освещением, культурными и спортивными объектами;servicios públicos|patrimonio histórico|medio ambiente|urbanismo|agua|iluminación;A2;2;0;medium;CCSE Manual 2026 Tarea 1
T1-040;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;BOE и электронная администрация;BOE и региональные бюллетени публикуют законы и назначения, телефон 060 даёт информацию об администрации, PAe объединяет электронные услуги;Boletín Oficial del Estado|BOE|060|Portal de la Administración Electrónica|PAe;A1;3;3;medium;CCSE Manual 2026 Tarea 1
T1-041;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Электронная идентификация;Для онлайн-процедур используются DNI electrónico, certificado digital и Cl@ve, электронная подпись имеет юридическую силу как бумажная подпись;DNI electrónico|certificado digital|Cl@ve|firma electrónica|sede electrónica;A1;2;2;medium;CCSE Manual 2026 Tarea 1
T1-042;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Население Испании;Испания в 2025 имеет более 49 миллионов жителей, четвёртая по населению страна ЕС, вторая по площади в ЕС, площадь 505944 км2;49 millones|Unión Europea|505944 km2|densidad de población|habitantes;A1;2;2;medium;CCSE Manual 2026 Tarea 1
T1-043;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Крупнейшие города;Крупнейшие города по населению включают Madrid, Barcelona, Valencia, Sevilla, Zaragoza, Málaga, Murcia, Palma de Mallorca, Las Palmas de Gran Canaria, Alicante;Madrid|Barcelona|Valencia|Sevilla|Zaragoza|Málaga|Murcia|Palma|Alicante;A1;3;3;medium;CCSE Manual 2026 Tarea 1
T1-044;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Право голоса;Право голоса имеют испанцы старше 18 лет через всеобщее, свободное, равное, прямое и тайное голосование, на муниципальных выборах могут голосовать резиденты ЕС и некоторых стран с соглашениями;sufragio universal|libre|igual|directo|secreto|mayores de 18 años;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-045;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Виды выборов;Каждые 4 года проходят общие, автономные и муниципальные выборы, европейские выборы проходят каждые 5 лет, выборы формально созывает король;elecciones generales|autonómicas|municipales|europeas|cada cuatro años|cada cinco años;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-046;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Многопартийность и президенты правительства;Испания имеет многопартийную систему, с 1978 по 2024 были президенты Suárez, Calvo-Sotelo, González, Aznar, Zapatero, Rajoy, Sánchez;pluripartidismo|presidente del Gobierno|Adolfo Suárez|Felipe González|José María Aznar|Pedro Sánchez;A2;4;0;medium;CCSE Manual 2026 Tarea 1
T1-047;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Ассоциации и профсоюзы;Конституция признаёт право ассоциаций, партии выражают политический плюрализм, sindicatos защищают интересы работников и участвуют в переговорах с работодателями и правительством;derecho de asociación|partidos políticos|sindicatos|trabajadores|negociación;A2;3;0;high;CCSE Manual 2026 Tarea 1
T2-001;CCSE;Tarea 2 Derechos y deberes fundamentales;Права и свободы в Конституции;Конституция 1978 закрепляет основные права, обязанности и свободы испанцев внутри и вне Испании, а также иностранных резидентов;derechos fundamentales|deberes|libertades|españoles|residentes extranjeros;A2;2;0;high;CCSE Manual 2026 Tarea 2
T2-002;CCSE;Tarea 2 Derechos y deberes fundamentales;Партии и демократия;Политические партии выражают плюрализм, являются инструментом участия, создаются свободно в рамках Конституции и закона, их структура и работа должны быть демократическими;partidos políticos|pluralismo político|participación política|estructura democrática;B1;2;0;high;CCSE Manual 2026 Tarea 2
T2-003;CCSE;Tarea 2 Derechos y deberes fundamentales;Совершеннолетие и равенство;Испанцы становятся совершеннолетними в 18 лет, все равны перед законом, запрещена дискриминация по рождению, расе, полу, религии или личным и социальным обстоятельствам;mayoría de edad|18 años|igualdad ante la ley|discriminación|sexo|religión;A2;3;0;high;CCSE Manual 2026 Tarea 2
T2-004;CCSE;Tarea 2 Derechos y deberes fundamentales;Право на жизнь и запрет пыток;Все имеют право на жизнь и физическую и моральную неприкосновенность, пытки запрещены, смертная казнь отменена;derecho a la vida|integridad física|integridad moral|tortura|pena de muerte;A2;2;0;high;CCSE Manual 2026 Tarea 2
T2-005;CCSE;Tarea 2 Derechos y deberes fundamentales;Идеологическая и религиозная свобода;Гарантируется свобода идеологии и религии, никто не обязан раскрывать свои взгляды, официальной религии нет;libertad ideológica|libertad religiosa|ideas políticas|ideas religiosas|Estado aconfesional;A2;2;0;high;CCSE Manual 2026 Tarea 2
T2-006;CCSE;Tarea 2 Derechos y deberes fundamentales;Честь, частная жизнь и дом;Гарантируются честь и частная семейная жизнь, дом неприкосновенен, вход без согласия возможен по судебному разрешению или при совершении преступления;derecho al honor|intimidad|domicilio inviolable|resolución judicial|delito;B1;3;0;high;CCSE Manual 2026 Tarea 2
T2-007;CCSE;Tarea 2 Derechos y deberes fundamentales;Тайна коммуникаций и данные;Гарантируется тайна почтовых, телеграфных и телефонных сообщений кроме случая судебного решения, закон ограничивает использование персональных данных;secreto de las comunicaciones|correo|teléfono|resolución judicial|datos personales;B1;2;0;medium;CCSE Manual 2026 Tarea 2
T2-008;CCSE;Tarea 2 Derechos y deberes fundamentales;Свобода передвижения;Испанцы могут свободно выбирать место жительства, перемещаться по территории страны, въезжать и выезжать, это нельзя ограничить по политическим или идеологическим причинам;libertad de residencia|desplazarse libremente|entrar|salir|motivos ideológicos;A2;2;0;high;CCSE Manual 2026 Tarea 2
T2-009;CCSE;Tarea 2 Derechos y deberes fundamentales;Свобода выражения и прессы;Защищены выражение идей, художественное и научное творчество, академическая свобода и получение правдивой информации, цензуры нет, лимит это права других, честь, интимность, образ и защита молодёжи;libertad de expresión|libertad de prensa|sin censura|derecho al honor|protección de la juventud;B1;3;0;high;CCSE Manual 2026 Tarea 2
T2-010;CCSE;Tarea 2 Derechos y deberes fundamentales;Ассоциации, участие и голосование;Признаётся право ассоциаций, запрещены незаконные объединения, граждане имеют право участвовать в политике лично или через представителей и голосовать с 18 лет;derecho de asociación|asociaciones ilegales|participación política|derecho al voto|18 años;A2;3;0;high;CCSE Manual 2026 Tarea 2
T2-011;CCSE;Tarea 2 Derechos y deberes fundamentales;Уголовная ответственность и наказания;Человек может быть наказан только за действия или бездействие, которые были преступлением в момент совершения, тюрьма ориентирована на перевоспитание и реинтеграцию;delito|omisión|penas de cárcel|reeducación|reinserción social;B1;2;0;medium;CCSE Manual 2026 Tarea 2
T2-012;CCSE;Tarea 2 Derechos y deberes fundamentales;Образование как право;Все имеют право на образование и свободу преподавания, базовое образование обязательно и бесплатно, Primaria 6-12 лет, ESO 12-16 лет;derecho a la educación|libertad de enseñanza|Educación Primaria|ESO|obligatoria|gratuita;A2;3;0;high;CCSE Manual 2026 Tarea 2
T2-013;CCSE;Tarea 2 Derechos y deberes fundamentales;Профсоюзы и забастовка;Граждане имеют право вступать в любой профсоюз, работники имеют право на забастовку для защиты интересов, при забастовке поддерживаются минимальные услуги;sindicatos|derecho a la huelga|trabajadores|servicios mínimos;A2;2;0;high;CCSE Manual 2026 Tarea 2
T2-014;CCSE;Tarea 2 Derechos y deberes fundamentales;Оборона и помощь при катастрофах;Испанцы имеют право и обязанность защищать Испанию, граждане должны помогать при серьёзном риске, катастрофе или общественном бедствии;defender a España|deber|grave riesgo|catástrofe|calamidad pública;A2;2;0;medium;CCSE Manual 2026 Tarea 2
T2-015;CCSE;Tarea 2 Derechos y deberes fundamentales;Налоги и публичные расходы;Граждане должны платить налоги для поддержки публичных расходов по экономической способности, публичные ресурсы распределяются справедливо;impuestos|gastos públicos|capacidad económica|recursos públicos|equitativamente;B1;2;0;high;CCSE Manual 2026 Tarea 2
T2-016;CCSE;Tarea 2 Derechos y deberes fundamentales;Брак, развод и семья;Закон регулирует формы брака, возраст и способность к браку, права супругов, причины разделения и развода, минимальный возраст брака 16 лет;matrimonio|cónyuges|separación|divorcio|16 años;A2;2;0;medium;CCSE Manual 2026 Tarea 2
T2-017;CCSE;Tarea 2 Derechos y deberes fundamentales;Трудовые переговоры;Закон гарантирует право на коллективные переговоры между представителями работников и предпринимателями, а также соблюдение трудовых соглашений;negociación colectiva|representantes de los trabajadores|empresarios|convenios;B1;2;0;medium;CCSE Manual 2026 Tarea 2
T2-018;CCSE;Tarea 2 Derechos y deberes fundamentales;Социальное обеспечение;Граждане имеют доступ к публичной системе Seguridad Social, которая помогает в ситуациях нужды, особенно при отсутствии работы;Seguridad Social|sistema público|situaciones de necesidad|desempleo;A2;2;0;high;CCSE Manual 2026 Tarea 2
T2-019;CCSE;Tarea 2 Derechos y deberes fundamentales;Здоровье и спорт;Публичные власти должны защищать здоровье, продвигать санитарное образование, физическое воспитание и спорт;proteger la salud|educación sanitaria|educación física|deporte|poderes públicos;A2;2;0;medium;CCSE Manual 2026 Tarea 2
T2-020;CCSE;Tarea 2 Derechos y deberes fundamentales;Окружающая среда и жильё;Все имеют право на подходящую окружающую среду и обязанность сохранять её, испанцы имеют право на достойное и адекватное жильё;medio ambiente|deber de conservarlo|vivienda digna|vivienda adecuada;A2;2;0;high;CCSE Manual 2026 Tarea 2
T2-021;CCSE;Tarea 2 Derechos y deberes fundamentales;Молодёжь и потребители;Молодые люди имеют право свободно участвовать в развитии страны, публичные власти защищают потребителей и пользователей, их безопасность, здоровье и экономические интересы;jóvenes|participación|consumidores|usuarios|seguridad|salud;A2;2;0;medium;CCSE Manual 2026 Tarea 2
T2-022;CCSE;Tarea 2 Derechos y deberes fundamentales;Defensor del Pueblo по Конституции;Defensor del Pueblo назначается Cortes Generales для защиты публичных прав и свобод, может контролировать деятельность администрации;Defensor del Pueblo|Cortes Generales|derechos públicos|libertades públicas|Administración;B1;2;0;high;CCSE Manual 2026 Tarea 2
T2-023;CCSE;Tarea 2 Derechos y deberes fundamentales;Независимое правосудие;Правосудие исходит от народа и отправляется независимыми судьями и магистратами, граждане обязаны выполнять решения судов и сотрудничать с ними;jueces|magistrados|independientes|sentencias|colaborar con la justicia;B1;3;0;high;CCSE Manual 2026 Tarea 2
T2-024;CCSE;Tarea 2 Derechos y deberes fundamentales;Бесплатная юридическая помощь;Правосудие бесплатно в случаях, установленных законом, и для людей без достаточных экономических ресурсов;justicia gratuita|ley|recursos económicos|asistencia jurídica;B1;1;0;medium;CCSE Manual 2026 Tarea 2
T3-001;CCSE;Tarea 3 Organización territorial geografía física y política;Положение Испании;Испания расположена на юге Европы, граничит с Андоррой, Францией, Португалией и Марокко, включает большую часть Пиренейского полуострова, Балеары, Канары, Ceuta и Melilla;sur de Europa|Andorra|Francia|Portugal|Marruecos|península ibérica|Baleares|Canarias;A1;4;4;high;CCSE Manual 2026 Tarea 3
T3-002;CCSE;Tarea 3 Organización territorial geografía física y política;Размер и рельеф;Испания имеет площадь 505944 км2, это одна из самых гористых стран Европы, средняя высота около 650 м над уровнем моря;505944 km2|montañoso|altitud media|650 metros|Europa;A1;2;2;medium;CCSE Manual 2026 Tarea 3
T3-003;CCSE;Tarea 3 Organización territorial geografía física y política;Реки Атлантики;К Атлантическому океану текут Miño, Duero, Tajo, Guadiana и Guadalquivir, важно отличать их от средиземноморских рек;Miño|Duero|Tajo|Guadiana|Guadalquivir|océano Atlántico;A1;3;3;high;CCSE Manual 2026 Tarea 3
T3-004;CCSE;Tarea 3 Organización territorial geografía física y política;Реки Средиземного моря;В Средиземное море впадают Ebro, Júcar, Segura и Turia, Ebro часто выделяют как главную средиземноморскую реку Испании;Ebro|Júcar|Segura|Turia|mar Mediterráneo;A1;2;2;high;CCSE Manual 2026 Tarea 3
T3-005;CCSE;Tarea 3 Organización territorial geografía física y política;Meseta и Sistema Central;Meseta это большая равнина в центре Пиренейского полуострова высотой более 600 м, её пересекает Sistema Central;Meseta|llanura|centro de la península|Sistema Central|600 metros;A1;2;2;high;CCSE Manual 2026 Tarea 3
T3-006;CCSE;Tarea 3 Organización territorial geografía física y política;Горы и вершины;Pirineos, Sistema Central, Sistemas Bético и Penibético, Aneto в Pirineos третий по высоте, Mulhacén в Sierra Nevada второй, Teide на Tenerife самый высокий;Pirineos|Aneto|Sistema Central|Mulhacén|Sierra Nevada|Teide|Tenerife;A1;4;4;high;CCSE Manual 2026 Tarea 3
T3-007;CCSE;Tarea 3 Organización territorial geografía física y política;Национальные парки;Первая Ley de Parques Nacionales принята в 1916, сейчас в Испании 16 национальных парков, управление идёт через Red de Parques Nacionales;Ley de Parques Nacionales|1916|16 parques nacionales|Red de Parques Nacionales;A1;2;2;medium;CCSE Manual 2026 Tarea 3
T3-008;CCSE;Tarea 3 Organización territorial geografía física y política;Парки по регионам;Ordesa в Aragón, Aigüestortes в Cataluña, Monfragüe в Extremadura, Cabañeros и Tablas de Daimiel в Castilla-La Mancha, Doñana и Sierra Nevada в Andalucía, Teide и Timanfaya на Канарах;Ordesa|Aigüestortes|Monfragüe|Cabañeros|Doñana|Sierra Nevada|Teide|Timanfaya;A1;5;5;high;CCSE Manual 2026 Tarea 3
T3-009;CCSE;Tarea 3 Organización territorial geografía física y política;Климаты Испании;Океанический климат на севере влажный и мягкий, средиземноморский у Средиземного моря сухой и тёплый, континентальный в центре с холодной зимой и жарким летом, субтропический на Канарах;clima oceánico|clima mediterráneo|clima continental|clima subtropical|Canarias;A1;4;4;high;CCSE Manual 2026 Tarea 3
